safety_score,,service_score,on_time_score,score,,name,country_code,country_name,region,year_founded,years_in_operation,alliance,fleet_size,monthly_flights,flights_delayed_percentage,average_delay_minutes,eu_banned,us_banned,banned,odds_fatal,years_until_fatal,,fatal_accidents,full_loss_equivalent,,last_fatal_accident,,,,,,,,url,,gdp_per_capita,,,,,,,,,,,,,,
⚠️           SAFETY SCORE       ,🍃           NEVER CRASHED,😊           SERVICE SCORE       ,⏰                      ON TIME SCORE,✈️           AIRLINE LIST SCORE       ,,Airline,,,,Founded,,Alliance,Fleet size,Flights/month (Oct 2018) ,% of flight delayed (Oct 2018),Average delay in minutes (Oct 2018),EU ban,FAA ban,,1 in...estimated odds of fatal accident per trip (*based on planes lost / fleet size * avg 6 trips per day * 30 years) ,Fatal accident if going non-stop for,,Fatal accidents (since 1970),"Fatal accidents in FLE (since 1970) * Full Loss Equivalent = The sum of the proportions of passengers killed for each fatal event. For example, 50 out of 100 passengers killed on a flight is an FLE of 0.50, 1 of 100 would be a FLE of 0.01. The fatal event rate for a set of fatal events is found by dividing the total FLE by the number of flights in millions.",FLE / year,Last fatal accident (after 1970),FLE / 1000x fleet size,Flight-report.com economy service ranking (out of 10),Airlineratings.com Safety (out of 7),Customer service rating (Skytrax normalized) (out of 5),Airhelp.com On-Time Performance (out of 10),Airhelp.com Quality of Service (out of 10),Airhelp.com Delay Claim Processing (out of 10),Website,Website rating,GDP per capita (nominal) in airline country,Sources,,,,,,,,,,,,,
3.94,,3.79,3.80,3.85,,Turkish Airlines,🇹🇷,Turkey,Middle East,1956,48,Star Alliance,329,"41,653",21.00%,37.8,,,0 ,"4,577,800 ","2,090",years,10,7.56,0.16,2009,22.98,7.8,6,3.13,7.3,8,8.5,turkishair.com,,"$10,863",Fleet size,https://en.wikipedia.org/wiki/World%27s_largest_airlines#By_fleet_size,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.90,,3.69,4.01,3.84,,Ethiopian Airlines,🇪🇹,Ethiopia,Africa,1945,48,Star Alliance,69,"10,025",23.71%,39.1,,,0 ,"3,575,492 ","1,633",years,3,2.03,0.04,2010,29.42,7,6,3.13,8.4,7.8,7.4,ethiopianairlines.com,,$687,,,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.27,,3.29,4.00,3.82,,Eurowings,🇩🇪,Germany,Europe,1993,25,,109,,,,,,0 ,"5,971,838 ","2,727",years,1,1.00,0.04,2015,9.17,6.8,7,1.50,8,6,9.1,eurowings.de,,"$42,456",Fleet size,https://en.wikipedia.org/wiki/Eurowings,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.34,,3.37,3.70,3.82,,Czech Airlines,🇨🇿,Czechia,Europe,1923,48,Sky Team,18,,,,,,0 ,"1,061,131 ",485,years,2,1.78,0.04,1977,99.13,6.9,7,3.13,7.4,6,7.1,czechairlines.com,,,Fleet size,https://en.wikipedia.org/wiki/Czech_Airlines,Founded,https://en.wikipedia.org/wiki/Czech_Airlines,,,,,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.14,,4.50,,3.82,,Iraqi Airways,🇮🇶,Iraq,Middle East,1945,48,,32,,,,x,,1 ,"1,295,174 ",591,,4,2.60,0.05,1986,,,2,4.50,,,,iraqiairways.com.iq,,,Fleet size,https://en.wikipedia.org/wiki/Iraqi_Airways,,,Full Loss Equivalents,https://en.wikipedia.org/wiki/Iraqi_Airways,,,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,3.54,2.02,3.82,,JetBlue Airlines,🇺🇸,United States,North America,1999,19,,250,"30,342",19.15%,58.4,,,0 ,,,,0,0.00,0.00,,0.00,7.9,7,3.13,,,,jetblue.com,,"$57,808",Fleet size,https://en.wikipedia.org/wiki/JetBlue,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.24,,3.33,3.95,3.82,,Aeroflot,🇷🇺,Russia,Europe,2000,18,Sky Team,248,,,,,,0 ,"2,867,788 ","1,309",years,8,3.41,0.19,2013,13.76,6.4,7,3.00,7.9,8,5,aeroflot.com,,"$8,655",Fleet size,https://www.planespotters.net/airline/Aer-Lingus,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/events/airlines/fsu.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.29,Never,3.03,4.30,3.78,,Ryanair,🇮🇪,Ireland,Europe,1986,32,A4E,413,,,,,,0 ,,,,0,0.00,0.00,,0.00,5.8,4,3.13,8.6,6.3,3.3,ryanair.com,4.50,"$64,497",Fleet size,https://en.wikipedia.org/wiki/World%27s_largest_airlines#By_fleet_size,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.80,,3.73,,3.76,,Malaysia Airlines,🇲🇾,Malaysia,Asia,1987,31,OneWorld,83,,,,,,0 ,"1,544,857 ",705,years,4,3.65,0.12,2014,43.98,7.4,6,3.75,,,,malaysiaairlines.com,,"$9,508",Fleet size,https://centreforaviation.com/analysis/reports/malaysia-airlines-fleet-strategy-still-a-work-in-progress-following-a330-200-and-787-9-deals-373796,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.29,Never,3.21,3.76,3.75,,TUIfly,🇩🇪,United Kingdom,Europe,2007,11,,154,"5,283",29.67%,46.7,,,0 ,,,,0,0.00,0.00,,0.00,,4,2.00,8,6.3,7.4,tui.com,,"$42,456",Fleet size,https://en.wikipedia.org/wiki/TUI_Airways,,,,,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,2.50,,3.75,,Jeju Air,🇰🇷,South Korea,Asia,2005,13,Value Alliance,38,,,,,,0 ,,,,0,0.00,0.00,,0.00,,7,2.50,,,,jejuair.com,,,Fleet size,https://en.wikipedia.org/wiki/Jeju_Air,Founded,https://en.wikipedia.org/wiki/Jeju_Air,,,,,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,2.50,,3.75,,VietJet,🇻🇳,Vietnam,Asia,2007,11,,56,,,,,,0 ,,,,0,0.00,0.00,,0.00,,7,2.50,,,,vietjetair.com,,,Fleet size,https://en.wikipedia.org/wiki/VietJet_Air,Founded,https://en.wikipedia.org/wiki/VietJet_Air,Full Loss Equivalents,https://en.wikipedia.org/wiki/VietJet_Air,,,,,,,,
4.04,,3.71,3.17,3.74,,Asiana Airlines,🇰🇷,South Korea,Asia,1988,30,Star Alliance,82,"8,539",30.18%,35.2,,,0 ,"8,557,286 ","3,907",years,2,0.63,0.02,2013,7.68,7.9,6,5.00,5.7,9.5,4,flyasiana.com,,"$27,785",Fleet size,https://en.wikipedia.org/wiki/Asiana_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.24,,2.86,4.16,3.67,,Royal Jordanian Airlines,🇯🇴,Jordan,Middle East,1963,48,OneWorld,24,"2,653",16.66%,42.4,,,0 ,"928,165 ",424,years,3,2.72,0.06,1979,113.33,,7,3.75,8.3,6.3,0.8,royaljordanianairlines.com,,"$4,088",Fleet size,https://en.wikipedia.org/wiki/Royal_Jordanian,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.69,,2.64,,3.66,,COPA Airlines,🇵🇦,Panama,Latin America,1944,48,Star Alliance,91,,,,,,0 ,"9,572,472 ","4,371",years,1,1.00,0.02,1992,10.99,6.8,6,1.88,,,,copaair.com,,"$13,680",Fleet size,https://en.wikipedia.org/wiki/Copa_Airlines,Founded,https://en.wikipedia.org/wiki/Copa_Airlines,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.98,,3.24,1.89,3.66,,China Eastern Airlines,🇨🇳,China,Asia,1988,30,Sky Team,514,"65,153",24.49%,43,,,0 ,"17,937,857 ","8,191",years,3,1.88,0.06,2004,3.67,6.7,7,3.13,,,,ceair.com,,"$8,126",Fleet size,https://en.wikipedia.org/wiki/China_Eastern_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,https://en.wikipedia.org/wiki/China_Eastern_Airlines,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,3.13,2.06,3.66,,Spring Airlines,🇨🇳,China,Asia,2004,14,,81,"10,973",17.54%,51.6,,,0 ,,,,0,0.00,0.00,,0.00,,7,3.13,,,,en.ch.com,,,Fleet size,https://en.wikipedia.org/wiki/Spring_Airlines,Founded,https://en.wikipedia.org/wiki/Spring_Airlines,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.94,,3.13,2.13,3.65,,GOL Transportes Aéreos,🇧🇷,Brazil,Latin America,2000,18,,118,"20,010",14.90%,37.3,,,0 ,"4,654,746 ","2,125",years,1,1.00,0.06,2006,8.47,,7,3.13,,,,,,"$8,649",Fleet size,https://en.wikipedia.org/wiki/Gol_Transportes_A%C3%A9reos,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.83,,3.04,2.12,3.57,,Alitalia,🇮🇹,Italy,Europe,1957,48,,109,"16,736",15.27%,40.7,,,0 ,"4,051,565 ","1,850",years,3,2.83,0.06,1990,25.96,5.9,7,3.13,,,,alitalia.it,,"$31,279",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.97,,3.13,,3.55,,Austral Lineas,🇦🇷,Argentina,Latin America,TODO,#VALUE!,,26,,,,,,0 ,#VALUE!,#VALUE!,years,4,4.00,#VALUE!,1997,153.85,,7,3.13,,,,australlineas.com,,"$12,449",,,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
4.99,,2.90,1.95,3.54,,Air China,🇨🇳,China,Asia,1988,30,Star Alliance,392,"41,452",21.96%,46.9,,,0 ,"31,429,317 ","14,351",years,2,0.82,0.03,2003,2.09,6.6,7,2.50,,,,airchina.com,,"$8,126",Fleet size,https://en.wikipedia.org/wiki/World%27s_largest_airlines#By_fleet_size,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.33,Never,3.75,,3.54,,Horizon Air,🇺🇸,United States,North America,1981,37,,56,,,,,,0 ,,,,0,0.00,0.00,,0.00,,,3.75,,,,horizonair.com,,"$57,808",Fleet size,https://en.wikipedia.org/wiki/Horizon_Air,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
3.92,,3.45,2.90,3.53,,Air India,🇮🇳,India,Asia,1946,48,Star Alliance,118,,,,,,0 ,"4,004,083 ","1,828",years,4,3.10,0.06,2010,26.27,7.1,6,3.75,5.8,6.3,7.8,airindia.com,,"$1,706",Fleet size,http://www.rediff.com/business/report/how-many-planes-do-indias-airlines-own/20131213.htm,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.49,,3.60,3.45,3.52,,Thai Airways,🇹🇭,Thailand,Asia,1959,48,Star Alliance,81,,,,,x,1 ,"1,889,258 ",863,years,6,4.51,0.09,2003,55.68,8.1,5,4.38,6.9,8,4.2,thaiairways.com,,"$5,911",Fleet size,https://en.wikipedia.org/wiki/Thai_Airways,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.33,Never,4.38,2.13,3.51,,IndiGo,🇮🇳,India,Asia,2006,12,,192,"40,057",14.70%,35.9,,,0 ,,,,0,0.00,0.00,,0.00,,,4.38,,,,goindigo.in,,"$1,706",Fleet size,https://en.wikipedia.org/wiki/IndiGo,Founded,https://en.wikipedia.org/wiki/IndiGo,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.20,,3.75,,3.48,,China Northern Airlines,🇨🇳,China,Asia,1988,30,,56,,,,,,0 ,"3,377,725 ","1,542",years,2,1.09,0.04,2002,19.46,,,3.75,,,,cna.com.cn,,"$8,126",Fleet size,https://en.wikipedia.org/wiki/China_Northern_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
3.32,,3.49,,3.40,,Iran Air,🇮🇷,Iran,Middle East,1973,45,,36,,,,x,,1 ,"845,293 ",386,years,5,4.20,0.09,2006,116.67,7.7,6,3.13,,,,iranair.com,,"$5,299",Fleet size,https://en.wikipedia.org/wiki/Iran_Air,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.14,Never,4.38,1.84,3.37,,Nok Air,🇹🇭,Thailand,Asia,2004,14,Value Alliance,27,"5,485",26.57%,50.3,,x,1 ,,,,0,0.00,0.00,,0.00,,2,4.38,,,,nokair.com,,,Fleet size,https://en.wikipedia.org/wiki/Nok_Air,Founded,https://en.wikipedia.org/wiki/Nok_Air,,,,,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.74,,3.00,,3.37,,Air Koryo,🇰🇵,North Korea,Asia,1950,48,,19,,,,x,,1 ,"1,998,648 ",913,years,1,1.00,0.02,1983,52.63,,6,3.00,,,,airkoryo.com.kp,,,Fleet size,https://en.wikipedia.org/wiki/Air_Koryo,Founded,https://en.wikipedia.org/wiki/Air_Koryo,Full Loss Equivalents,https://en.wikipedia.org/wiki/Air_Koryo,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
3.33,Never,3.19,3.74,3.35,,Jet Airways,🇮🇳,India,Asia,1992,26,,123,"16,987",15.50%,34.3,,,0 ,,,,0,0.00,0.00,,0.00,7,,3.13,6.5,6.5,5.6,jetairways.com,,"$1,706",Fleet size,https://en.wikipedia.org/wiki/Jet_Airways,Founded,https://en.wikipedia.org/wiki/Jet_Airways,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.33,Never,3.11,3.87,3.35,,easyJet,🇬🇧,United Kingdom,Europe,1995,23,A4E,233,"55,351",24.07%,47.2,,,0 ,,,,0,0.00,0.00,,0.00,6.6,,3.75,7.9,7.8,1.3,easyjet.com,4.50,"$40,249",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.33,Never,3.26,,3.30,,Tunis Air,🇹🇳,Tunisia,Africa,1948,48,,29,,,,,,0 ,,,,0,0.00,0.00,,0.00,6.8,,3.13,,,,tunisair.com,,"$3,657",Fleet size,https://en.wikipedia.org/wiki/Tunisair,Founded,https://en.wikipedia.org/wiki/Tunisair,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.38,,3.75,2.08,3.27,,Southwest Airlines,🇺🇸,United States,North America,1971,47,,697,"117,308",16.84%,46,,,0 ,"10,696,910,927 ","4,884,434",years,1,0.01,0.00,2018,0.01,7.5,3,3.75,,,,southwest.com,,"$57,808",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,https://en.wikipedia.org/wiki/Southwest_Airlines_Flight_1380,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.03,,2.50,,3.26,,Lion Air,🇮🇩,Indonesia,Asia,1999,19,,115,,,,,,0 ,"4,163,850 ","1,901",years,2,1.15,0.06,2018,10.00,,6,2.50,,,,lionair.co.id,,"$3,570",Fleet size,https://www.planespotters.net/airline/Lion-Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
3.33,Never,3.13,,3.23,,Vanilla Air,🇯🇵,Japan,Asia,2013,5,Value Alliance,13,,,,,,0 ,,,,0,0.00,0.00,,0.00,,,3.13,,,,vanilla-air.com,,,Fleet size,https://en.wikipedia.org/wiki/Vanilla_Air,Founded,https://en.wikipedia.org/wiki/Vanilla_Air,,,,,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
4.29,Never,1.90,3.76,3.23,,WOW Air,🇮🇸,Iceland,Europe,,48,,,"1,713",24.79%,35.6,,,0 ,,,,,,,,,,4,,7.5,6,1.7,,,,,,,,,,,,,,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,1.45,,3.23,,Air Europa,,,Europe,,48,,,,,,,,0 ,,,,,,,,,5.8,7,,,,,,,,,,,,,,,,,,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.13,,3.21,,3.17,,Royal Air Maroc,🇲🇦,Morocco,Africa,1957,48,,55,,,,,,0 ,"3,383,368 ","1,545",years,2,1.71,0.04,1994,31.09,6.6,,3.13,,,,royalairmaroc.com,,"$2,937",Fleet size,https://en.wikipedia.org/wiki/Royal_Air_Maroc,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
5.00,Never,1.88,1.73,3.10,,Frontier Airlines,🇺🇸,United States,North America,1994,24,,80,"10,778",30.64%,65.6,,,0 ,,,,0,0.00,0.00,,0.00,,7,1.88,,,,frontierairlines.com,,,Fleet size,https://en.wikipedia.org/wiki/Frontier_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
1.33,,4.00,4.50,3.03,,SpaceX,🇺🇸,United States,Space,2002,16,,10.00,1.58,,,,,,"175,320 ",80 ,years,0,2.00,0.13,2016,200.00,,,,,,,spacex.com,,"$57,808",,,,,,,,,,,,,,
4.05,Never,2.50,1.98,3.02,,SpiceJet,🇮🇳,India,Asia,1993,25,,61,"12,799",20.77%,46.1,,,0 ,,,,0,0.00,0.00,,0.00,,3,2.50,,,,spicejet.com,,,Fleet size,https://en.wikipedia.org/wiki/SpiceJet,Founded,https://en.wikipedia.org/wiki/SpiceJet,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.99,,2.50,1.97,2.99,,flydubai,🇦🇪,United Arab Emirates,Middle East,2009,9,,62,"6,675",21.13%,37.4,,,0 ,"1,222,857 ",558,years,1,1.00,0.11,2016,16.13,,6,2.50,,,,flydubai.com,,"$37,622",Fleet size,https://en.wikipedia.org/wiki/Flydubai,Founded,https://en.wikipedia.org/wiki/Flydubai,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
2.97,,3.00,,2.99,,Luxair,🇱🇺,Luxembourg,Europe,1962,48,,17,,,,,,0 ,"1,950,833 ",891,,1,0.92,0.02,2002,53.92,,,3.00,,,,luxair.lu,,"$99,506",Fleet size,https://en.wikipedia.org/wiki/Luxair,,,,,,,,,,,,
3.18,,3.13,2.04,2.93,,LATAM Brazil (prev TAM),???,Brazil,Latin America,1976,42,,147,513,18.38%,47.4,,,0 ,"3,933,233 ","1,796",years,7,3.44,0.08,2007,23.40,,,3.13,,,,,,,,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
3.97,,1.88,,2.92,,TAME,🇪🇨,Ecuador,Latin America,TODO,#VALUE!,,13,,,,,,0 ,#VALUE!,#VALUE!,years,2,2.00,#VALUE!,2002,153.85,,7,1.88,,,,tame.com.ec,,"$5,982",Fleet size,https://en.wikipedia.org/wiki/TAME,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
