safety_score,,service_score,on_time_score,score,,name,country_code,country_name,region,year_founded,years_in_operation,alliance,fleet_size,monthly_flights,flights_delayed_percentage,average_delay_minutes,eu_banned,us_banned,banned,odds_fatal,years_until_fatal,,fatal_accidents,full_loss_equivalent,,last_fatal_accident,,,,,,,,url,,gdp_per_capita,,,,,,,,,,,,,,
⚠️           SAFETY SCORE       ,🍃           NEVER CRASHED,😊           SERVICE SCORE       ,⏰                      ON TIME SCORE,✈️           AIRLINE LIST SCORE       ,,Airline,,,,Founded,,Alliance,Fleet size,Flights/month (Oct 2018) ,% of flight delayed (Oct 2018),Average delay in minutes (Oct 2018),EU ban,FAA ban,,1 in...estimated odds of fatal accident per trip (*based on planes lost / fleet size * avg 6 trips per day * 30 years) ,Fatal accident if going non-stop for,,Fatal accidents (since 1970),"Fatal accidents in FLE (since 1970) * Full Loss Equivalent = The sum of the proportions of passengers killed for each fatal event. For example, 50 out of 100 passengers killed on a flight is an FLE of 0.50, 1 of 100 would be a FLE of 0.01. The fatal event rate for a set of fatal events is found by dividing the total FLE by the number of flights in millions.",FLE / year,Last fatal accident (after 1970),FLE / 1000x fleet size,Flight-report.com economy service ranking (out of 10),Airlineratings.com Safety (out of 7),Customer service rating (Skytrax normalized) (out of 5),Airhelp.com On-Time Performance (out of 10),Airhelp.com Quality of Service (out of 10),Airhelp.com Delay Claim Processing (out of 10),Website,Website rating,GDP per capita (nominal) in airline country,Sources,,,,,,,,,,,,,
4.98,,3.75,3.97,4.29,,LATAM (prev LAN Chile),🇨🇱,Chile,Latin America,1929,48,OneWorld,123,"40,430",19.40%,41.4,,,0 ,"38,054,753 ","17,377",years,2,0.34,0.01,1991,2.76,6.6,7,3.75,7.8,6.3,9.3,latam.com,,"$13,794",Fleet size,https://en.wikipedia.org/wiki/LATAM_Chile,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.68,,3.74,4.60,4.28,,Kenya Airways,🇰🇪,Kenya,Africa,1977,41,Sky Team,40,,,,,,0 ,"1,848,669 ",844,years,2,1.94,0.05,2007,48.60,7.7,7,3.13,9.2,6.3,7.9,kenyaairways.com,,"$1,455",Fleet size,https://en.wikipedia.org/wiki/Kenya_Airways,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
5.00,Never,3.50,4.40,4.28,,Wizz Air,🇭🇺,Hungary,Europe,2003,15,,66,,,,,,0 ,,,,0,0.00,0.00,,0.00,6.1,7,2.50,8.8,6,9.1,wizzair.com,,"$12,900",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.96,,3.60,,4.28,,Alaska Airlines,🇺🇸,United States,North America,1944,48,,320,,,,,,0 ,"16,664,079 ","7,609",years,3,2.02,0.04,2000,6.31,6.9,7,3.75,,,,alaskaair.com,,"$57,808",Fleet size,https://en.wikipedia.org/wiki/Alaska_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.77,,4.00,3.80,4.27,,Garuda Indonesia,🇮🇩,Indonesia,Asia,1950,48,Sky Team,143,,,,,,0 ,"3,038,880 ","1,388",years,9,4.95,0.10,2007,34.62,7.8,7,5.00,7.6,9.8,4.8,garuda-indonesia.com,,"$3,570",Fleet size,https://en.wikipedia.org/wiki/Garuda_Indonesia,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.52,Never,4.00,,4.26,,Air Astana,🇰🇿,Kazakhstan,Asia,2001,17,,33,,,,,,0 ,,,,0,0.00,0.00,,0.00,,5,4.00,,,,airastana.com,,,,,,,,,,,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,3.58,4.13,4.26,,Flybe,🇬🇧,United Kingdom,Europe,1979,39,,78,"16,654",19.84%,46,,,0 ,,,,0,0.00,0.00,,0.00,6.9,7,2.50,8.5,6.3,9.1,flybe.com,,"$40,249",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.78,,3.94,3.82,4.25,,Swiss,🇨🇭,Switzerland,Europe,1931,48,Star Alliance,62,"13,218",23.15%,33.1,,,0 ,"3,119,171 ","1,424",years,3,2.09,0.04,1998,33.72,7.6,7,4.38,7.6,8,7.4,swiss.com,,"$79,609",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,https://en.wikipedia.org/wiki/Swissair#Accidents_and_incidents,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.72,,3.75,,4.24,,AtlasGlobal,🇹🇷,Turkey,Middle East,2001,17,,24,,,,,,0 ,"894,132 ",408,years,1,1.00,0.06,2007,41.67,,7,3.75,,,,atlasglobal.com,,"$10,863",Fleet size,https://www.planespotters.net/airline/AtlasGlobal,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
4.97,,3.71,3.81,4.23,,British Airways,🇬🇧,United Kingdom,Europe,1974,44,OneWorld,268,"32,403",24.45%,41.4,,,0 ,"18,458,691 ","8,429",years,3,1.40,0.03,1985,5.22,7.2,7,3.13,7.7,7.8,8.1,ba.com,,"$40,249",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
